SUBJ_ID	#TRIAL_FLOW	trial_counter	ReliefChoiceUS	ReliefUS	T.CSM	T.CS_EE	T.CS_UU	shock
RS07	Pavlovian_phase	24	1	0	0	1	0	1
RS07	Pavlovian_phase	25	2	97	0	0	1	0
RS07	Pavlovian_phase	26	1	0	0	1	0	1
RS07	Pavlovian_phase	27	1	0	0	1	0	1
RS07	Pavlovian_phase	28	2	96	0	0	1	0
RS07	Extinction_phase	29	2	92	0	0	1	0
RS07	Extinction_phase	30	2	88	0	0	1	0
RS07	Extinction_phase	31	2	94	0	1	0	0
RS07	Extinction_phase	32	2	81	0	1	0	0
RS07	Extinction_phase	33	2	94	0	0	1	0
RS07	Extinction_phase	34	2	86	1	0	0	0
RS07	Extinction_phase	35	2	96	0	0	1	0
RS07	Extinction_phase	36	2	48	0	1	0	0
RS07	Extinction_phase	37	2	90	1	0	0	0
RS07	Extinction_phase	38	2	79	1	0	0	0
RS07	Extinction_phase	39	2	81	0	0	1	0
RS07	Extinction_phase	40	2	53	0	1	0	0
RS07	Extinction_phase	41	2	57	0	1	0	0
RS07	Extinction_phase	42	2	87	1	0	0	0
RS07	Extinction_phase	43	2	52	0	1	0	0
RS07	Extinction_phase	44	2	79	1	0	0	0
RS07	Extinction_phase	45	2	55	0	1	0	0
RS07	Extinction_phase	46	2	55	0	1	0	0
RS08	Pavlovian_phase	1	2	86	1	0	0	0
RS08	Pavlovian_phase	2	1	0	0	1	0	1
RS08	Pavlovian_phase	3	2	57	1	0	0	0
RS08	Pavlovian_phase	4	1	0	0	1	0	1
RS08	Pavlovian_phase	5	1	0	0	1	0	1
RS08	Pavlovian_phase	6	2	71	1	0	0	0
RS08	Pavlovian_phase	7	1	0	0	1	0	1
RS08	Pavlovian_phase	8	2	69	1	0	0	0
RS08	Pavlovian_phase	9	2	71	0	0	1	0
RS08	Pavlovian_phase	10	1	0	0	1	0	1
RS08	Pavlovian_phase	11	2	83	0	0	1	0
RS08	Pavlovian_phase	12	1	0	0	1	0	1
RS08	Pavlovian_phase	13	2	70	0	0	1	0
RS08	Pavlovian_phase	14	2	84	1	0	0	0
RS08	Pavlovian_phase	15	1	0	0	1	0	1
RS08	Pavlovian_phase	16	2	78	0	0	1	0
RS08	Pavlovian_phase	17	1	0	0	1	0	1
RS08	Pavlovian_phase	18	2	89	1	0	0	0
RS08	Pavlovian_phase	19	2	84	0	0	1	0
RS08	Pavlovian_phase	20	2	87	0	0	1	0
RS08	Pavlovian_phase	21	1	0	0	1	0	1
RS08	Pavlovian_phase	22	1	0	0	1	0	1
RS08	Pavlovian_phase	23	2	86	0	0	1	0
RS08	Pavlovian_phase	24	1	0	0	1	0	1
RS08	Pavlovian_phase	25	2	90	1	0	0	0
RS08	Pavlovian_phase	26	1	0	0	1	0	1
RS08	Pavlovian_phase	27	2	65	0	0	1	0
RS08	Pavlovian_phase	28	2	46	1	0	0	0
RS08	Extinction_phase	29	2	93	0	1	0	0
RS08	Extinction_phase	30	2	86	0	1	0	0
RS08	Extinction_phase	31	2	83	0	0	1	0
RS08	Extinction_phase	32	2	87	0	0	1	0
RS08	Extinction_phase	33	2	96	1	0	0	0
RS08	Extinction_phase	34	2	85	0	1	0	0
RS08	Extinction_phase	35	2	68	0	0	1	0
RS08	Extinction_phase	36	2	62	0	0	1	0
RS08	Extinction_phase	37	2	48	0	1	0	0
RS08	Extinction_phase	38	2	41	0	1	0	0
RS08	Extinction_phase	39	2	30	1	0	0	0
RS08	Extinction_phase	40	2	11	1	0	0	0
RS08	Extinction_phase	41	1	0	0	1	0	0
RS08	Extinction_phase	42	2	11	0	1	0	0
RS08	Extinction_phase	43	2	10	0	0	1	0
RS08	Extinction_phase	44	2	8	0	1	0	0
RS08	Extinction_phase	45	2	13	1	0	0	0
RS08	Extinction_phase	46	2	6	1	0	0	0
RS09	Pavlovian_phase	1	1	0	0	1	0	1
RS09	Pavlovian_phase	2	1	0	1	0	0	0
RS09	Pavlovian_phase	3	1	0	1	0	0	0
RS09	Pavlovian_phase	4	1	0	0	1	0	1
RS09	Pavlovian_phase	5	1	0	1	0	0	0
RS09	Pavlovian_phase	6	1	0	0	1	0	1
RS09	Pavlovian_phase	7	1	0	1	0	0	0
RS09	Pavlovian_phase	8	1	0	0	1	0	1
RS09	Pavlovian_phase	9	1	0	1	0	0	0
RS09	Pavlovian_phase	10	1	0	0	1	0	1
RS09	Pavlovian_phase	11	2	55	0	0	1	0
RS09	Pavlovian_phase	12	1	0	0	0	1	0
RS09	Pavlovian_phase	13	1	0	0	1	0	1
RS09	Pavlovian_phase	14	1	0	0	1	0	1
RS09	Pavlovian_phase	15	2	61	1	0	0	0
RS09	Pavlovian_phase	16	1	0	0	1	0	1
RS09	Pavlovian_phase	17	1	0	1	0	0	0
RS09	Pavlovian_phase	18	1	0	0	1	0	1
RS09	Pavlovian_phase	19	1	0	0	0	1	0
RS09	Pavlovian_phase	20	1	0	0	0	1	0
RS09	Pavlovian_phase	21	1	0	0	1	0	1
RS09	Pavlovian_phase	22	1	0	0	1	0	1
RS09	Pavlovian_phase	23	1	0	0	0	1	0
RS09	Pavlovian_phase	24	1	0	0	0	1	0
RS09	Pavlovian_phase	25	1	0	1	0	0	0
RS09	Pavlovian_phase	26	1	0	0	0	1	0
RS09	Pavlovian_phase	27	1	0	0	1	0	1
RS09	Pavlovian_phase	28	1	0	0	0	1	0
RS09	Extinction_phase	29	2	79	0	1	0	0
RS09	Extinction_phase	30	2	65	0	0	1	0
RS09	Extinction_phase	31	2	69	0	0	1	0
RS09	Extinction_phase	32	2	64	1	0	0	0
RS09	Extinction_phase	33	1	0	0	1	0	0
RS09	Extinction_phase	34	1	0	0	0	1	0
RS09	Extinction_phase	35	1	0	1	0	0	0
RS09	Extinction_phase	36	1	0	0	1	0	0
RS09	Extinction_phase	37	1	0	1	0	0	0
RS09	Extinction_phase	38	1	0	0	1	0	0
RS09	Extinction_phase	39	1	0	0	1	0	0
RS09	Extinction_phase	40	1	0	1	0	0	0
RS09	Extinction_phase	41	1	0	0	1	0	0
RS09	Extinction_phase	42	1	0	1	0	0	0
RS09	Extinction_phase	43	1	0	0	0	1	0
RS09	Extinction_phase	44	1	0	0	1	0	0
RS09	Extinction_phase	45	1	0	0	0	1	0
RS09	Extinction_phase	46	1	0	0	1	0	0
RS10	Pavlovian_phase	1	1	0	0	1	0	1
RS10	Pavlovian_phase	2	2	29	1	0	0	0
RS10	Pavlovian_phase	3	1	0	0	1	0	1
RS10	Pavlovian_phase	4	2	46	1	0	0	0
RS10	Pavlovian_phase	5	2	11	1	0	0	0
RS10	Pavlovian_phase	6	1	0	0	1	0	1
RS10	Pavlovian_phase	7	1	0	0	1	0	1
RS10	Pavlovian_phase	8	2	14	1	0	0	0
RS10	Pavlovian_phase	9	2	34	0	0	1	0
RS10	Pavlovian_phase	10	1	0	0	1	0	1
RS10	Pavlovian_phase	11	1	0	0	1	0	1
RS10	Pavlovian_phase	12	2	12	1	0	0	0
RS10	Pavlovian_phase	13	1	0	0	1	0	1
RS10	Pavlovian_phase	14	2	15	0	0	1	0
RS10	Pavlovian_phase	15	1	0	0	1	0	1
RS10	Pavlovian_phase	16	1	0	0	1	0	1
RS10	Pavlovian_phase	17	2	20	0	0	1	0
RS10	Pavlovian_phase	18	2	20	1	0	0	0
RS10	Pavlovian_phase	19	1	0	0	1	0	1
RS10	Pavlovian_phase	20	1	0	0	1	0	1
RS10	Pavlovian_phase	21	1	0	0	0	1	0
RS10	Pavlovian_phase	22	1	0	0	1	0	1
RS10	Pavlovian_phase	23	1	0	0	0	1	0
RS10	Pavlovian_phase	24	1	0	0	0	1	0
RS10	Pavlovian_phase	25	1	0	1	0	0	0
RS10	Pavlovian_phase	26	1	0	0	0	1	0
RS10	Pavlovian_phase	27	2	16	1	0	0	0
RS10	Pavlovian_phase	28	1	0	0	0	1	0
RS10	Extinction_phase	29	2	52	1	0	0	0
RS10	Extinction_phase	30	2	60	0	0	1	0
RS10	Extinction_phase	31	2	71	0	1	0	0
RS10	Extinction_phase	32	2	20	1	0	0	0
RS10	Extinction_phase	33	1	0	0	0	1	0
RS10	Extinction_phase	34	2	42	0	1	0	0
RS10	Extinction_phase	35	1	0	1	0	0	0
RS10	Extinction_phase	36	1	0	0	1	0	0
RS10	Extinction_phase	37	1	0	0	1	0	0
RS10	Extinction_phase	38	1	0	1	0	0	0
RS10	Extinction_phase	39	1	0	0	1	0	0
RS10	Extinction_phase	40	1	0	0	0	1	0
RS10	Extinction_phase	41	1	0	0	1	0	0
RS10	Extinction_phase	42	1	0	1	0	0	0
RS10	Extinction_phase	43	1	0	0	0	1	0
RS10	Extinction_phase	44	1	0	0	0	1	0
RS10	Extinction_phase	45	1	0	0	1	0	0
RS10	Extinction_phase	46	1	0	0	1	0	0
RS11	Pavlovian_phase	1	2	94	1	0	0	0
RS11	Pavlovian_phase	2	1	0	0	1	0	1
RS11	Pavlovian_phase	3	1	0	0	1	0	1
RS11	Pavlovian_phase	4	2	90	1	0	0	0
RS11	Pavlovian_phase	5	2	91	1	0	0	0
RS11	Pavlovian_phase	6	1	0	0	1	0	1
